scene_id,image_path,mask_path,product_id,dataset_name,product_type,timestamp_start,timestamp_stop,crs,width,height,scene_left,scene_bottom,scene_right,scene_top,scene_latitude,scene_longitude,oil_pixels,oil_percent,oil_area_km2,oil_latitude,oil_longitude,event_score,environment_available,ais_available,followup_scene_available
00001,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00001.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00001.tif,S1A_IW_GRDH_1SDV_20180803T172551_20180803T172608_023085_0281B1_DB30_O,subset_2_of_S1A_IW_GRDH_1SDV_20180803T172551_20180803T172608_023085_0281B1_DB30_Orb_NR_Cal_Spk_TC_dB,GRD,2018-08-03T17:25:54.809128,2018-08-03T17:25:57.015584,EPSG:4326,2048,2048,5.079664728927639,55.38103680360428,5.263639699115317,55.56501177379196,55.47302428869812,5.171652214021478,56225,1.3405084609985352,401530632.6148164,1058.5258070253446,1425.873268119164,80.0,,,
00004,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00004.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00004.tif,S1A_IW_GRDH_1SDV_20180803T172551_20180803T172608_023085_0281B1_DB30_O,subset_6_of_S1A_IW_GRDH_1SDV_20180803T172551_20180803T172608_023085_0281B1_DB30_Orb_NR_Cal_Spk_TC_dB,GRD,2018-08-03T17:25:57.465068,2018-08-03T17:25:59.671524,EPSG:4326,2048,2048,5.782596438751165,55.15969191759723,5.966571408938843,55.343666887784906,55.25167940269107,5.8745839238450035,44049,1.0502099990844727,67040077.26553257,1106.684090444732,1146.627063043429,80.0,,,
00006,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00006.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00006.tif,S1A_IW_GRDH_1SDV_20180803T172551_20180803T172608_023085_0281B1_DB30_O,subset_8_of_S1A_IW_GRDH_1SDV_20180803T172551_20180803T172608_023085_0281B1_DB30_Orb_NR_Cal_Spk_TC_dB,GRD,2018-08-03T17:26:00.386170,2018-08-03T17:26:02.592627,EPSG:4326,2048,2048,5.615240301319698,54.91624847560084,5.799215271507376,55.100223445788515,55.00823596069468,5.707227786413537,89378,2.1309375762939453,150770283.03251886,1127.8273960034908,944.1665958065744,80.0,,,
00007,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00007.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00007.tif,S1A_IW_GRDH_1SDV_20170115T040004_20170115T040025_014837_0182F8_2DFF_O,subset_15_of_S1A_IW_GRDH_1SDV_20170115T040004_20170115T040025_014837_0182F8_2DFF_Orb_NR_Cal_Spk_TC_dB,GRD,2017-01-15T04:00:19.083965,2017-01-15T04:00:21.386794,EPSG:4326,2048,2048,30.625126448259813,32.08565120571045,30.80910141844749,32.269626175898125,32.17763869080429,30.71711393335365,70772,1.6873359680175781,20784679.15819325,1168.5125049454587,579.6450008477929,80.0,,,
00009,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00009.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00009.tif,S1A_IW_GRDH_1SDV_20160707T040004_20160707T040024_012037_0129A1_A38C_O,subset_33_of_S1A_IW_GRDH_1SDV_20160707T040004_20160707T040024_012037_0129A1_A38C_Orb_NR_Cal_Spk_TC_dB,GRD,2016-07-07T04:00:14.019949,2016-07-07T04:00:16.323074,EPSG:4326,2048,2048,29.198322133239117,32.45081711280943,29.382297103426794,32.63479208299711,32.54280459790327,29.290309618332955,44991,1.0726690292358398,14927259.35675664,1230.0475539552356,1062.4296970505213,80.0,,,
00012,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00012.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00012.tif,S1A_IW_GRDH_1SDV_20170208T040004_20170208T040024_015187_018DC8_E79B_O,subset_41_of_S1A_IW_GRDH_1SDV_20170208T040004_20170208T040024_015187_018DC8_E79B_Orb_NR_Cal_Spk_TC_dB,GRD,2017-02-08T04:00:18.350372,2017-02-08T04:00:20.653321,EPSG:4326,2048,2048,29.149503721826417,32.1114349496756,29.333478692014094,32.295409919863275,32.203422434769436,29.241491206920255,168158,4.009199142456055,32433962.113458678,1079.804564754576,1024.0926866399457,80.0,,,
00013,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00013.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00013.tif,S1A_IW_GRDH_1SDV_20170208T040004_20170208T040024_015187_018DC8_E79B_O,subset_42_of_S1A_IW_GRDH_1SDV_20170208T040004_20170208T040024_015187_018DC8_E79B_Orb_NR_Cal_Spk_TC_dB,GRD,2017-02-08T04:00:18.819512,2017-02-08T04:00:21.122461,EPSG:4326,2048,2048,29.171153120173695,32.07397520232781,29.355128090361372,32.257950172515486,32.16596268742165,29.263140605267534,169200,4.0340423583984375,33140575.958425257,781.9117907801418,780.9728014184398,80.0,,,
00015,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00015.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00015.tif,S1A_IW_GRDH_1SDV_20161011T040007_20161011T040028_013437_015777_6C5A_O,subset_49_of_S1A_IW_GRDH_1SDV_20161011T040007_20161011T040028_013437_015777_6C5A_Orb_NR_Cal_Spk_TC_dB,GRD,2016-10-11T04:00:19.694134,2016-10-11T04:00:21.996787,EPSG:4326,2048,2048,31.195558302964574,32.29874759274891,31.37953327315225,32.48272256293659,32.39073507784275,31.287545788058413,69326,1.6528606414794922,157614816.04032663,1211.0671321005107,1339.2165998326745,80.0,,,
00019,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00019.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00019.tif,S1A_IW_GRDH_1SDV_20161011T040007_20161011T040028_013437_015777_6C5A_O,subset_53_of_S1A_IW_GRDH_1SDV_20161011T040007_20161011T040028_013437_015777_6C5A_Orb_NR_Cal_Spk_TC_dB,GRD,2016-10-11T04:00:13.756955,2016-10-11T04:00:16.059608,EPSG:4326,2048,2048,30.740202285444386,32.77287839970719,30.924177255632063,32.956853369894866,32.86486588480103,30.832189770538225,88665,2.113938331604004,249460579.15663663,1707.685191450967,1144.3790841933119,80.0,,,
00021,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00021.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00021.tif,S1A_IW_GRDH_1SDV_20160827T170943_20160827T171006_012789_014272_9810_O,subset_1_of_S1A_IW_GRDH_1SDV_20160827T170943_20160827T171006_012789_014272_9810_Orb_NR_Cal_Spk_TC_dB,GRD,2016-08-27T17:09:47.023598,2016-08-27T17:09:49.400954,EPSG:4326,2048,2048,8.53333006704596,57.573278193039705,8.717305037233638,57.75725316322738,57.665265678133544,8.625317552139798,100357,2.392697334289551,51594188.468889065,458.1865290911446,1223.743560489054,80.0,,,
