epoch,train_loss,val_loss,dice,iou,precision,recall,learning_rate,epoch_time_minutes
1,0.42414199839056865,0.4110137670746052,0.6033351423802639,0.4319827617117086,0.4700270199295476,0.842197515836167,0.0001,53.352280577023826
2,0.2878493635812938,0.27183183570888264,0.563021039453485,0.3918088259548043,0.552319052526577,0.5741459544284853,0.0001,54.01589851379394
3,0.22394453768709144,0.24497881873325758,0.5916266317631322,0.4200779744250527,0.5400982543206906,0.6540241757567994,0.0001,51.545220629374185
4,0.21486834283629747,0.2807071679169807,0.5286071967159492,0.3592563423826276,0.3857573595416973,0.8394722174615197,0.0001,51.32972294489543
5,0.20548794039076343,0.24866117717747246,0.5852672370449181,0.41369455233539426,0.46526572658582493,0.788685225898506,0.0001,51.03084356387456
6,0.19858888357038568,0.330095725222959,0.5077595853655859,0.3402666087756258,0.8558148789807016,0.36095936089516656,5e-05,52.67927807569504
7,0.1829699459103454,0.23494815540658975,0.6160139805029236,0.44510130292123573,0.5131606948910209,0.7704324980454405,5e-05,53.488614082336426
8,0.17855915599544137,0.23443888637861246,0.6049787642879887,0.43366993189835623,0.5215228163094896,0.7202330323701094,5e-05,52.23880032698313
9,0.1758893848953533,0.22700987064521738,0.5950753319203513,0.42356387174391547,0.5371952203396632,0.6669341696266018,5e-05,51.99855742851893
10,0.17175390450558514,0.20745891217902598,0.6327335117842098,0.46277263228318666,0.5279158156652528,0.7894859668260735,5e-05,51.35351631641388
11,0.17121519380913555,0.22661520501974833,0.6179586548924068,0.4471347091604542,0.505647294554855,0.7944077690610267,5e-05,53.89459931850433
12,0.17096865050707963,0.2171176062800999,0.5944073797695033,0.4228873794684758,0.6038497275100405,0.585255783970663,5e-05,51.45630619128545
13,0.16861948599705667,0.21637259978734466,0.6280420232297588,0.4577705978343793,0.5341628312456349,0.7619558742458402,2.5e-05,51.014419380823774
14,0.1610698564564162,0.21860065429021555,0.6192225226223945,0.4484593156881671,0.5297090763387823,0.7451409512297292,2.5e-05,51.42681570053101
15,0.16066495432413497,0.23691622151274155,0.567373147305039,0.39603693469638296,0.4249109935349957,0.8535460366099771,2.5e-05,51.67432426214218
16,0.15862679772290958,0.22416472030698528,0.6331751616032367,0.4632452848500534,0.5274618517565398,0.7918835752534351,1.25e-05,52.59190179109574
17,0.15191687109366397,0.21285361243359788,0.6325608333733471,0.462587915288266,0.5803395767409801,0.6951095470941283,1.25e-05,51.2905937631925
18,0.15186665355772283,0.20978772888845845,0.6359265620672933,0.46619671960701653,0.5450969181905978,0.763078541596398,1.25e-05,51.590415652592974
19,0.1487279211247115,0.19956312391176612,0.632869357019314,0.4629179810054589,0.5636502473899812,0.7214694674471728,1.25e-05,51.9118300596873
