dataset,split,source_image,source_mask,patch_name,row,col,patch_size,oil_pixels,valid_pixels,oil_percentage,patch_type,image_path,mask_path,invalid_path
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r0_c0,0,0,512,0,262144,0.0,background,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r0_c0.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r0_c0.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r0_c0.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r0_c384,0,384,512,0,262144,0.0,background,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r0_c384.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r0_c384.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r0_c384.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r0_c768,0,768,512,7443,262144,2.8392791748046875,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r0_c768.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r0_c768.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r0_c768.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r0_c1152,0,1152,512,39770,262144,15.171051025390625,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r0_c1152.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r0_c1152.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r0_c1152.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r0_c1536,0,1536,512,1618,262144,0.617218017578125,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r0_c1536.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r0_c1536.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r0_c1536.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r384_c0,384,0,512,0,262144,0.0,background,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r384_c0.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r384_c0.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r384_c0.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r384_c384,384,384,512,5787,262144,2.2075653076171875,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r384_c384.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r384_c384.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r384_c384.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r384_c768,384,768,512,58285,262144,22.233963012695312,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r384_c768.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r384_c768.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r384_c768.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r384_c1152,384,1152,512,49322,262144,18.814849853515625,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r384_c1152.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r384_c1152.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r384_c1152.npy
oil,train,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_images\Oil\00516.tif,D:\SIH_Dataset\Part_I\01_Train_Val_Oil_Spill_mask\Mask_oil\00516.tif,00516_r384_c1536,384,1536,512,1618,262144,0.617218017578125,oil,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\images\00516_r384_c1536.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\masks\00516_r384_c1536.npy,C:\Users\Acer\OneDrive\Desktop\oil-spill-detection\Oil-Spill-Detection\data\patches\train\oil\invalid\00516_r384_c1536.npy
